,Unnamed: 0,Unnamed: 1,Unnamed: 2,tripduration,tripduration.1
0,,,,len,mean
1,year,start station id,end station id,,
187,2014,79,152,14,240.7142857
188,2014,79,153,1,1572
189,2014,79,161,7,628.1428571
190,2014,79,195,7,548.4285714
191,2014,79,216,1,1137
192,2014,79,217,2,2625
193,2014,79,224,3,1540
194,2014,79,229,1,580
195,2014,79,236,1,806
196,2014,79,237,4,812.5
197,2014,79,238,3,603.3333333
198,2014,79,242,1,1953
199,2014,79,247,1,908
200,2014,79,248,1,171
201,2014,79,249,3,267.6666667
